,class,accuracy,precision,recall,F1
0,体育,0.9642857142857143,0.6923076923076923,0.9,0.7826086956521738
1,娱乐,0.9857142857142858,0.9,0.9,0.9
2,家居,0.9785714285714285,0.8888888888888888,0.8,0.8421052631578948
3,彩票,0.9857142857142858,1.0,0.8,0.888888888888889
4,房产,0.9857142857142858,0.9,0.9,0.9
5,教育,0.9928571428571429,0.9090909090909091,1.0,0.9523809523809523
6,时尚,0.9857142857142858,0.9,0.9,0.9
7,时政,0.95,0.6153846153846154,0.8,0.6956521739130435
8,星座,0.9785714285714285,0.8181818181818182,0.9,0.8571428571428572
9,游戏,1.0,1.0,1.0,1.0
10,社会,0.9785714285714285,0.8888888888888888,0.8,0.8421052631578948
11,科技,0.9714285714285714,0.875,0.7,0.7777777777777777
12,股票,0.9785714285714285,0.8181818181818182,0.9,0.8571428571428572
13,财经,0.9642857142857143,0.8571428571428571,0.6,0.7058823529411764
